,review,sentiment,sentences,words
0,"A rating of ""1"" does not begin to express how dull, depressing and relentlessly bad this movie is.",negative,1,18
1,"I sat through this on TV hoping because of the names in it that it would be worth the time...but dear Gussie, whoever thought this script was worth producing?",negative,2,29
2,The problem is the role of the characters in the film.,negative,2,11
3,Probably New Zealands worst Movie ever madeThe Jokes They are not funny.,negative,2,12
4,"Cheap, amateurish, unimaginative, exploitative... but don't think it'll have redeeming amusement value.About as unentertaining, uninstructive and just plain dull as a film can be.",negative,2,24
5,"Robert Wagner is the evil boss of Digicron, a telecommunications company with a virus that kills people.",negative,1,17
6,"I've been a Jennifer Connelly fan since Phenomena, and after I heard about seven minutes in heaven, I saw it as soon as I could.",positive,2,25
7,"This movie was so incredibly boring, Michael J. Fox could've done so much better.",negative,1,14
8,"this could have been better,but it was alright...it helped me get away from my boredom.",negative,2,15
9,"Pet Sematary , though a nice 80's Horror movie, with a nice Director and atmosphere, IS a copy of the Italian movie ZEDER by Pupi Avati.",negative,1,26
10,"Although I'm a girl, thankfully I have a sense of humor and realize that this really IS a funny anime!",positive,2,20
11,This movie deals with the European ERASMUS exchange program but more generally about the European youth.,positive,2,16
12,The true story of Phoolan Devi who became a national hero in India because she fought for her rights as a woman but in a violent manner.,positive,2,27
13,"Turning Isherwood's somewhat dark and utterly brilliant novel into light comedic romp could easily have been a recipe for disaster, but somewhow it wasn't .",positive,2,25
14,This is a great movie!,positive,2,5
15,I understand there was some conflict between Leigh and the great Maggie Smith during the filming.,negative,2,16
16,"I never thought I would absolutly hate an Arnold Schwartzeneggar film, BUT this is is dreadful from the get go.",negative,2,20
17,It's been said before--Strangers on a Train is Hitchcock's best movie--and he's made so many good ones!,positive,2,17
18,Ned aKelly is such an important story to Australians but this movie is awful.,negative,2,14
19,"Long, boring, blasphemous.Never have I been so glad to see ending credits roll.",negative,2,13
20,The best horror/sci-fi movie i have ever seen.,positive,1,8
21,"Well, this may be one of the worst movies ever, but atleast there are some nice t*ts in it.",negative,2,19
22,This is a really interesting film.,positive,2,6
23,Malcolm McDowell has not had too many good movies lately and this is no different.Especially designed for people who like Yellow filters on their movies.,negative,2,25
24,"Boring, predictable, by-the-numbers horror outing at least has pretty good special effects and plenty of (mindless) mayhem and gore to satisfy (mindless) genre fans.",negative,2,24
25,The Buddy Holly Story is a great biography with a super performance from Gary Busey.Busey did his own singing for this film and he does a great job.,positive,2,28
26,One of my favorite scenes is at the beginning when guests on a private yacht decide to take an impromptu swim - in their underwear!Rather risqué for 1931!,positive,2,28
27,I know that the real story of Little Richard is a lot more thrilling than this maudlin and thoroughly average biopic.,negative,2,21
28,"So that´s what I called a bad, bad film... Poor acting, poor directing, terrible writing!",negative,2,15
29,"The biggest heroes, is one of the greatest movies ever.",positive,2,10
30,This film has special effects which for it's time are very impressive.,positive,2,12
31,I really enjoyed this movie... In My DVD collection of baseball movies... Reminded me how great the sport truly is... Whether it's here in America or Japan.,positive,1,27
32,Simply one of the greatest films ever made.,positive,2,8
33,"Ever since I heard of the Ralph Bakshi version of ""The Lord of the Rings"" I wondered: What the hell is 'rotoscope' animation?",positive,2,23
34,A wonderful story...so beautiful told.,positive,1,5
35,This movie was a suprise for me while I was surfing from channel to channel... I don't know why but it filled in me with warmth and happiness.,positive,2,28
36,"This film was Excellent, I thought that the original one was quiet mediocre.",positive,2,13
37,Farrah Fawcett gives an award nominated performance as an attempted rape victim who turns the tables on her attacker.,positive,2,19
38,My definition of a great movie is if you want to continue to see it over again.,positive,2,17
39,This is not the stuff of soap-operas but the sort of conundrums that real people face in real life.,positive,2,19
40,i would give this movie an 8.5 or a 9.,positive,2,10
41,"Probably one of the worst movies ever made, I'm still trying to figure if it was meant to be fun, but for sure I had no fun at all.",negative,2,29
42,"In my opinion, October Sky is one of the best movies of 1999...It totally has everything an emotional drama movie would need, like, wonderful story and good character interactions.",positive,2,29
43,"Cool idea... botched writing, botched directing, botched editing, botched acting.",negative,2,10
44,"'It's easy to kill a monster, but it's hard to kill a human being.",positive,1,14
45,"by the way it looks at the other comments made, it seems that a lot of people did not get the point to the flick.",positive,2,25
46,"After 30+ years of hiatus, once again I immerse myself in the mist of uplifting melancholy.",positive,2,16
47,Outlandish premise that rates low on plausibility and unfortunately also struggles feebly to raise laughs or interest.,negative,2,17
48,"Were I not with friends, and so cheap, I would have walked out.It failed miserably as satire and didn't even have the redemption of camp.",negative,2,25
49,"If it wasn't for the terrific music, I would not hesitate to give this cinematic underachievement 2/10.",negative,2,17
50,"Really bad Italian horror movie, a sort of remake of Hammer infamous Frankenstein must be destroyed, this time with a lady Frankenstein taking over the business from father.",negative,2,28
51,"Although it has been remade several times, this movie is a classic if you are seeing it for the first time.",positive,2,21
52,"As long as you go into this movie knowing that it's terrible: bad acting, bad ""effects,"" bad story, bad... everything, then you'll love it.",positive,2,24
53,I wish they would just make a special section in the video rental stores for movies like this.,negative,2,18
54,"A fine western, following the fate of those who possess the prize winning gun, a Winchester '73.",positive,2,17
55,I decided to hire out this movie along with a few other old horror movies.,negative,2,15
56,For pure gothic vampire cheese nothing can compare to the Subspecies films.I highly recommend each and every one of them.,positive,2,20
57,"Did Sandra (yes, she must have) know we would still be here for her some nine years later?",positive,2,18
58,It is nice to see a show that has a little more content than just blood and guts for a change!,positive,2,21
59,"A great film in its genre, the direction, acting, most especially the casting of the film makes it even more powerful.A must see.",positive,2,23
60,"its too bad that no one knows anything about this movie, and it gets old telling people it's rap's version of spinal tap.",positive,2,23
61,Nicely done evil little comedy pitting the FBI against organized crime with a nice lady caught in the middle.,positive,2,19
62,"Otto Preminger's ""Porgy and Bess"" stands, to date, as a great American musical.",positive,2,13
63,One of those TV films you saw in the seventies that scared the hell out of you when you were a kid but still gives you an eerie feeling.,positive,1,29
64,"Well, I am SO glad I watched this on HBO instead of paying for it in the theaters or video store.",negative,2,21
65,"Despite its interesting premise, 'Sniper' is quite tedious.With a tighter script and sharper directing it could have been electrifying; instead it plods along with little tension.",negative,2,26
66,this is a great movie for all Corey Feldman fans.,positive,2,10
67,"Working with one of the best Shakespeare sources, this film manages to be creditable to it's source, whilst still appealing to a wider audience.",negative,2,24
68,"No offense to anyone who saw this and liked it, but I hated it!",negative,1,14
69,"This movie was 100% boring, i swear i almost died from boredom at the theater.",negative,1,15
70,I wouldn't rent this one even on dollar rental night.,negative,1,10
71,This is one of the funniest movies I have ever seen.,positive,2,11
72,Pretty dreadful movie about several unbalanced young people in a car starts off reasonably well but becomes more bizarre and hard to swallow as it progresses.,negative,2,26
73,i found the story to be just enough of a thriller that the wonderful henry mancici music didn't lull me.,positive,2,20
74,"This movie shows me, that americans have no knowledge about the situation in the sad balkan-brother war!",negative,1,17
75,This film captures the true struggle with identity that is ongoing in our teenage years.,positive,2,15
76,"This film lingered and lingered at a small movie theater in town, and the word-of-mouth buzz got me to see it.",positive,2,21
77,I have probably seen this movie over fifty times by now because of the kids they just cant get enough of Spirit.,positive,1,22
78,"Despite the high ratings given to this film by IMDB users, this is nothing more than your typical girl-with-a-bad-childhood-obsessively-stalks-married-man film.",negative,2,20
79,"More suspenseful, more subtle, much, much more disturbing....",negative,1,8
80,"Moonwalker is such a great movie, from start to finish you cant take your eyes away.",positive,2,16
81,I don't believe it... Luc Besson is not only a genius now...he has always been one... this film is for everyone who likes real good deep films...just perfect!,positive,1,28
82,"not a Larry Mcmurty masterpiece but it stands on its own as a good western, any of the lonesome doves do.",positive,2,21
83,I found this a very enjoyable light hearted comedy set in Wales with some truly funny sequences highlighting the rivalry between two funeral directors.,positive,2,24
84,"I cant go for long describing this tittle, simply because I do not feel strong about it.",negative,2,17
85,"Great movie - especially the music - Etta James - ""At Last"".This speaks volumes when you have finally found that special someone.",negative,2,22
86,If you've ever had a mad week-end out with your mates then you'll appreciate this film.Excellent fun and a laugh a minute.,positive,2,22
87,A very comical but down to earth look into the behind the scene workings of an Australian bowling club.,positive,2,19
88,The Disney studios' remake of their own 1965 slapstick classic concerns a clever feline leading an F.B.I. agent to a kidnapped woman.,negative,2,22
89,"I know this is a made for TV movie, and the acting in made for TV movies is usually sub-par, but it's absolutely horrendous in this film.",negative,2,27
90,In my opinion this is the best Oliver Stone flick -- probably more because of Bogosian's influence than anything else.,positive,2,20
91,one day someone said lets redo the mod squad we can make it hip cool and all that YO!,negative,1,19
92,"Well, i thought the movie was blah 1/10.",negative,2,8
93,"To begin with its a rip off of the Japanese film Battle Royal except it's missing the one thing that made BR unique, balls.",negative,2,24
94,"At one point in this waste of celluloid, Charles Dance as some sort of meant-to-be-funny, cyborg bad guy says ""If I had an anus, I'd soil myself"".Quite.",negative,2,27
95,"After eight Moto films the series had run its course, as this last entry demonstrates.",negative,2,15
96,"This movie is so bad, I knew how it ends right after this little girl killed the first person.",negative,1,19
97,"Spanish horrors are not bad at all, some are smart with interesting stories, but is not the case of ""Second Name"".",negative,2,21
98,"I think it's one of the greatest movies which are ever made, and I've seen many... The book is better, but it's still a very good movie!",positive,1,27
99,"I enjoyed every moment of this movie, even though I knew they could never really be together.",positive,2,17
100,I will not even make any more comments about this movie.,negative,2,11
101,Great underrated movie great action good actors and a wonderful story line.,positive,2,12
102,Summer Phoenix did a great performance where you really feel what she's not able to feel and you just cannot understand what she has on her mind.,positive,2,27
103,Brilliant and moving performances by Tom Courtenay and Peter Finch.,positive,1,10
104,The characters are unlikeable and the script is awful.It's a waste of the talents of Deneuve and Auteuil.,negative,2,18
105,As I said the idea itself was great and it had plenty potential.,negative,2,13
106,"with very little screen time and money, Dan Katzir manages to do so much.",positive,2,14
107,Ten minutes of people spewing gallons of pink vomit.Recurring scenes of enormous piles of dog excrement - need one say more?,negative,2,21
108,"Once in a while you get amazed over how BAD a film can be, and how in the world anybody could raise money to make this kind of crap.",negative,2,29
109,"The creators of south park in their own film here, this is a brilliant film with a huge entertainment factor.",positive,2,20
110,"This movie goes beyond just being bad, it is definitively the worst movie I have ever seen in my entire life.",negative,2,21
111,This true story of Carlson's Raiders is more of a Army training film than anything else.,negative,2,16
112,"This piece of crap, since I can't call it a movie, can be summed up by the following.",negative,2,18
113,"As usual, Sean Connery does a great job.Lawrence Fishburn is good, but I have a hard time not seeing him as Ike Turner.",positive,2,23
114,This movie is terrible but it has some good effects.,negative,1,10
115,"As far as horror flicks go, this one is pretty darn good.",positive,2,12
116,"That's about the only redeeming quality in a movie that otherwise insults the viewer's intelligence by losing track of time, plot, and reason for being produced.",negative,2,26
117,"Man, this would have been a bad episode of the original series.",negative,2,12
118,"Similar story line, done many times before, and this was no improvement.",negative,2,12
119,"To me, the final scene, in which Harris responds to the press corp, is worthy of viewing this intelligent and timeless slice of politics(especially the campaign phase).",positive,2,27
120,This was one of the worst movies I have ever seen!,negative,2,11
121,"Brian De Palma's undeniable virtuosity can't really camouflage the fact that his plot here is a thinly disguised ""Psycho"" carbon copy, but he does provide a genuinely terrifying climax.",positive,2,29
122,First Off Acting Is So Terrible Except For The Actor Who Plays Spencer.,negative,2,13
123,"Definitely not worth the rental, but if you catch it on cable, you'll be pleasantly surprised by the cameos--Iman's appearance is especially self-deprecating.",negative,2,23
124,"Since cats have nine lives, I'll give you nine reasons to see this movie:* The kittens Berlioz and Toulouse playing the piano together (so unbelievably cute!",positive,1,26
125,Excellent documentary that still manages to shock and enlighten.,positive,2,9
126,"The movie is not as funny as the director's preceding (and only other) movie, Shanghai Noon.",negative,2,16
127,"Anyone who does not find this movie funny, does not understand simple comedy.",positive,2,13
128,Based on the true story of the FBIs hunt for those who were responsible for the bombing of the World Trade Center Building.,positive,1,23
129,Thomas Edison had no other reason to make this film except to show that film can capture the electrocution of an innocent elephant.,negative,2,23
130,"I gave Timecop a perfect 10, I gave this 1It's story is very boring, and it has only little to do with the original Timecop.",negative,2,25
131,THis was a hilarious movie and I would see it again and again.,positive,2,13
132,"Hard up, No proper jobs going down at the pit, why not rent your kids!",negative,2,15
133,"Sorry, gave it a 1, which is the rating I give to movies on which I walk out or fall asleep.",negative,2,21
134,I was talked into watching this movie by a friend who blubbered on about what a cute story this was.,negative,2,20
135,"From a military historian's standpoint, nearly everything in this movie is historically accurate.",positive,2,13
136,The DVD release of this superior made for TV BBC drama is a more than welcome addition to my collection.,positive,2,20
137,"If you thought ""ROSEMARY'S BABY"" was bad, this one isn't much better.",negative,2,12
138,"Because it's late and i'm running short on vocabulary, i will describe this film as ""beautiful and heartbreaking,"" begging the forgiveness of those who cringe at such cliches.",positive,2,28
139,"This has an interesting, albeit somewhat fanciful sci-fi plot, but it's wasted with poor direction and shlocky special effects.",negative,2,19
140,A very well directed version of Eric Bogosian's stage play.,positive,2,10
141,"I don't know why I like this movie so well, but I never get tired of watching it.",positive,1,18
142,A movie you start watching as a late night cable porn....,positive,2,11
143,"The bottom line is: if you come looking for a sci-fi thriller/horror film, The Matrix is what you'll like.",positive,2,19
144,Ok I will sum up this movie... A bunch of skanky British women have some disease that basically is turning them into zombies.,negative,2,23
145,Complete entertainment!Although there are many strange things in the movie that the fairy tale itself doesn't have them including the autumn characters (mother and daughter) the general concept rocks.,positive,2,29
146,The one-liners fly so fast in this movie that you can watch it over and over and still catch new ones.By far one of the best of this genre.,positive,2,29
147,"I did not like this film at all: The scenario is boring - and after a while, its primitive predictability really gets on your nerves.",negative,2,25
148,A kinda remake of PLANES TRAINS AND AUTOMOBILES in a lot of ways.,positive,2,13
149,does anybody know why this movie is called the couch trip?,positive,2,11
150,"Don't waste your time and money on it.It's not quite as bad as ""Adrenalin"", by the same director but that's not saying much.",negative,2,23
151,"I was particularly moved by the understated courage and integrity of l'Anglaise, in this beautifully acted, intellectually and visually compelling film.Thank you so much, Monsieur le directeur Rohmer.",positive,2,28
152,"Read the book, forget the movie!",negative,1,6
153,"Annoying, static comedy with a painfully miscast Peter Sellers as a smarmy, self-centered Casanova who always has his way with the ladies.",negative,2,22
154,This is a great movie.Too bad it is not available on home video.,positive,2,13
155,"After a big tip of the hat to Spinal Tap, this movie is hilarious.",positive,2,14
156,This movie is specially for children and I think they will enjoy the movie.,positive,2,14
157,"this movie, while it could be considered an alright attempt at comedy, is not what the previews made it out to be.",negative,2,22
158,I would love to have that two hours of my life back.,negative,2,12
159,"Very intelligent language usage of Ali, which you musn't miss!In one word: (eeh sentence...) Wicked, so keep it real and pass it on!",positive,2,23
160,scarlet coat like most revolution flicks wasnt well received but is nears perfection in the art of movie making.,positive,1,19
161,What a strange atmosphere is being created in the streets and on the Golden Gate Bridge of San Francisco in this exciting action picture.,positive,2,24
162,"Agreeable ""Boy's Own Paper"" nonsense with a sprightly performance from Cushing, some amusing rubber monsters, colourful jungle sets, & the ever-welcome appearance of Caroline Munro in animal skins.",positive,1,28
163,A wonderful story about the consequences of obsessive love with the beautiful romantic back streets of Paris as its location.,positive,2,20
164,1st watched 8/31/1996 - (Dir-Tim Robbins): Very thought provoking and very well done movie on the subject of the death penalty.Deserved more recognition and publicity than it received.,positive,2,28
165,"Sickening exploitation trash plays like a bad (and reverse) ""Death Wish"" ripoff - but the ugly and untalented Tamerlis makes Charles Bronson look like Al Pacino with her performance.",negative,2,29
166,"I admit it's very silly, but I've practically memorized the damn thing!",positive,2,12
167,what was the quote by archbishop tutu at the end of the film about a person's past?,positive,2,17
168,"very badly made film, the action/violence scenes are ridiculous.",negative,2,9
169,mature intelligent and highly charged melodrama unbelivebly filmed in China in 1948.,positive,1,12
170,This short deals with a severely critical writing teacher whose undiplomatic criticism extends into his everyday life.,positive,2,17
171,This film brought back a lot of good memories and really works to give a good buzz.,positive,2,17
172,My favorite part of this film was the old man's attempt to cure his neighbor's ills by putting the strong medicine in his bath.,positive,2,24
173,"It may be difficult to believe, but the basic plot of this abysmal flick has been lifted from Hitchcock's perennial classic, ""Vertigo"".",negative,2,22
174,There are very few movies that are so funny as this one.,positive,2,12
175,"Although Twenty Minutes of Love is a harmless attempt at an early comedy, it was difficult to follow and the film quality was not very good.",negative,2,26
176,I find myself comparing all stand-up acts to this one performance now.,positive,1,12
177,"This documentary is such a wonderful example of what an entertaining and amazing experience a documentary can be, if done so well as this.",positive,2,24
178,"As so many others have written, this is a wonderful documentary.",positive,1,11
179,"If you like Pauly Shore, you'll love Son in Law.If you hate Pauly Shore, then, well...I liked it!",positive,2,18
180,"This movie will always be a Broadway and Movie classic, as long as there are still people who sing, dance, and act.",positive,1,22
181,"In the process of boring you with the wordy, rambling storyline and the complete absence of character development, it manages to enforce a few negative black stereotypes out there.",negative,2,29
182,"What a script, what a story, what a mess!",negative,1,9
183,Well this was the WWF's last pay per view event of the millennium and it ended the year and millennium right.,positive,2,21
184,"While the romance in this film is an important aspect, it is largely about the role of responsibility and duty in modern Indian.",positive,2,23
185,Ming The Merciless does a little Bardwork and a movie most foul!,negative,1,12
186,i don't care if you'd like my comment or no but i think that you who write that the movie isn't good.,positive,2,22
187,THE SEVENTH SIGN has a great opening hook as the Israeli defence force come across a terrorist base .,negative,2,19
188,The Claude Lelouch's movie is a pretty good moment of cinema.,positive,2,11
189,I always enjoy this movie when it shows up on TV.,positive,1,11
190,loved the story of a guy that tries to get his girl back....,positive,1,13
191,"Excruciatingly slow-paced, over-scripted black comedy with a too-clever premise and bad acting.",negative,2,12
192,I generally love SRK as a villain (how can you not?,positive,2,11
193,one of the worst excuses for an irish accents i've heard.,negative,2,11
194,Jamie Foxx is fun but this movie has been done before.,negative,2,11
195,I wasn`t expecting much with HARLEM NIGHTS but I wasn`t expecting it to be as bad as it was .,negative,2,20
196,"A fascinating look at the relationship of a single father in 1998 and a single mother in 1881, tied together by a time-traveling teenager.",positive,2,24
197,When you go at an open air cinema under the Greek summer night you usually don't care what the movie is!,negative,2,21
198,"Playwright John Osborne's (Look Back in Anger, The Entertainer) dramatisation of Oscar Wilde's only novel positively revels in the homosexual subtext of the original, perhaps too much so.",positive,2,28
199,"I couldn't stop laughing, I caught this again on late night TV.",negative,2,12
200,The most stupid of Seagal's movies I've ever seen.,negative,2,9
201,"twenty years later, this movie still remains as entertaining as when you first watched it.",positive,2,15
202,i've watched this movie (movie?,negative,2,5
203,"Ignoring Rocky 3, this is easily Hulk Hogan's best film, and it still rates as one of the worst films ever.",negative,2,21
204,"THis movie shows us once again, how genius the Japanese directors are and were.This movie could be seen as a sort of a ""Silent - Movie Tetsuo"".",positive,2,27
205,while watching this piece of crap!,negative,1,6
206,i really wanted this to be good as i am from Liverpool where it is set but it truly awful.,negative,2,20
207,"Hartley on low-key form: Martin Donovan, born to play Jesus, comes as Messiah to millenial Manhatten; P.J. Harvey is excellent as sidekick Magdelena.",positive,2,23
208,"The Book of Life was rather like a short snack, whetting the appetite for Hartley's next full length movie.",positive,2,19
209,"This is the definitive movie version of Hamlet.Branagh cuts nothing, but there are no wasted moments.",positive,2,16
210,"Brilliant kung-fu scenes, loads of melodrama, peculiar footwear symbolism and an unhappy (?) end makes Barefoot Kid an unforgettable film.",positive,2,20
211,I thought of this movie when i watched pluto nash...why.,negative,1,10
212,This is a superb game for the N64 with superb graphics and a great one-player story-line and even better multi-player game best played with 4 people.,positive,2,26
213,For Anthony Mann the Western was 'legend'- and 'legend' makes the very best cinema!,positive,2,14
214,"This movie has been promoting in everywhere in Spain with a huge publicity campaign, after watching it, you realise that someone has stolen your money.",negative,2,25
215,"It's a good movie if you plan to watch lots of landscapes and animals, like an animal documentary.",negative,2,18
216,I can't believe this movie has an average rating of 7.0!,negative,2,11
217,A movie best summed up by the scene where a victim simulates disembowelment by pulling some poor animal's intestines out from under her T-shirt.Too terrible for words.,negative,2,27
218,"A really terrible movie, really low-budget, with terrible acting, a convoluted and inane plot, a modest reworking of the vampire tales mixed with modern science.",negative,2,25
219,"A film destined to be on late-night TV long after the present instant ""money-makers"" have long been forgotten.",positive,2,18
220,a mesmerizing film that certainly keeps your attention... Ben Daniels is fascinating (and courageous) to watch.,positive,1,16
221,This movie includes one of the best characters and dialog that Crispin Glover has ever played.,positive,2,16
222,"I don't usually like TV movies, I reckon that if the thing was any good it would make it to Hollywood.",negative,2,21
223,"When a dowdy wife (Shearer) loses her husband, she decides to completely make herself over to win him back.",positive,2,19
224,"A delightful if somewhat predictable TV movie, though I admit a little bias -- as far as I'm concered, the more Gene Wilder in this world the better.",positive,2,28
225,"This norwegian movie is so crap, the actors can not act cause they seems to be reading from a book and the story is so (wannabe) hollywood.",negative,2,27
226,"Outrageously trashy karate/horror thriller with loads of graphically gory violence and gratuitous nudity, and a thoroughly preposterous and bizarre ""plot"".",negative,2,20
227,"Everything I can say, is that it's one of the best documentary movies of the ocean ever seen.",positive,2,18
228,One of the best (if not the best) Stephen King's screenings.,positive,2,11
229,"I have seen this play many times, from Olivier to Branagh, and this remains the one version that always stands out in my memory.",positive,2,24
230,"Long on action and stunt work, but so short on character delineation and development that it failed to hold our interest.",negative,2,21
231,I enjoyed the movie and Kellie Martins performance immensely.,positive,2,9
232,I just cant see what everyone sees in this movie.,negative,2,10
233,I have been learning about the Zodiac for four years now.,negative,1,11
234,"Having seen Rush live, I'm able to appreciate the awesomeness of this.",positive,1,12
235,"Stumbling upon this HBO special late one night, I was absolutely taken by this attractive British ""executive transvestite"".",positive,2,18
236,"Subject Matter: Cosmology, Quantum Physics and Stephen HawkingSoundtrack: Phillip GlassHave I died and gone to Heaven?You will be enraptured.",positive,2,19
237,"I think the film makes a subtile reference to rouge of Kieslowski, as the whole atmosphere gives me a feeling of red.",positive,2,22
238,Smallville episode Justice is the best episode of Smallville !,positive,2,10
239,I saw this picture in 1940 for $.,positive,2,8
240,"Of course, he did have to INVENT EVERYTHING about cinematography, film directing, etc.",positive,2,13
241,if you are dating a girl that is into wicca!,positive,1,10
242,"Laughs, adventure, a good time, a killer soundtrack, oscar-worthy acting, and special effects/ animitronics like none other, what else could you want in a movie?",positive,2,25
243,"This is a very cool movie.The ending of the movie is a bit more defined than the play's ending, but either way it is still a good movie.",positive,2,28
244,One of eastwood's best movies after he had separated himself from the westerns.,positive,2,13
245,"Without a doubt, one of Tobe Hoppor's best!Epic storytellng, great special effects, and The Spacegirl (vamp me baby!",positive,2,18
246,"this took me back to my childhood in the 1950 's so corny but just fab no one ever could play FLASH GORDON like LARRY BUSTER CRABBE, just great.",positive,1,29
247,"This is a bad movie in the traditional sense, but taken for what it is meant to be it is quite good.",positive,2,22
248,"Me and a couple of friends went to rent some movies one day, we picked one each and one of us picked Ironheart.",negative,2,23
249,I hope this group of film-makers never re-unites.,negative,1,8
250,"despite the occasionally stilted acting and ""seen-it-all-before"" story, this is a fairly compelling movie.",positive,1,14
251,This movie is very good in term of acting and plot.,positive,2,11
252,THis movie may be the worst movie I have ever seen.,negative,2,11
253,"This is actually one of my favorite films, I would recommend that EVERYONE watches it.",positive,2,15
254,"This film is an excellent teaching tool as a pre-study of ""To Kill a Mockingbird"".",positive,2,15
255,One of the funniest movies made in recent years.,positive,1,9
256,"The story is quite original, but the movie is kinda slow building up to the point where they steal the cars.",positive,1,21
257,"I had really only been exposed to Olivier's dramatic performances, and those were mostly much later films than *Divorce*.",positive,2,19
258,This should be required viewing for all young people.,positive,2,9
259,"Although it's been hailed as a comedy-drama I found ""Crooklyn"" to be mostly depressing.",negative,2,14
260,Former brat pack actor and all round pretty boy Rob Lowe stars in a film set in a high security American prison .,negative,2,23
261,"You may like Tim Burton's fantasies, but not in a commercial-like show off lasting 8 minutes.It demonstrates good technical points without real creativity or some established narrative pace.",negative,2,28
262,"I see it when I was 12 year old and I dream to see it again !What marvelous Sammy Davis Jr singing ""it ain't necessarily so ""!",positive,2,27
263,Add this little gem to your list of holiday regulars.,positive,1,10
264,"bad acting , combats are very awful , 3-4 second between each text , bad music , bad effect and always the same plan during the movie.",negative,1,27
265,"I saw this film on television years ago, but here several years after, I wake up in the morning, and still remember her face.",positive,2,24
266,"no comment - stupid movie, acting average or worse... screenplay - no sense at all... SKIP IT!",negative,1,17
267,"Hollow Point, though clumsy in places, manages to be an extremely endearing and amusing action movie.",positive,2,16
268,this is a below average martial arts films which is worth watching for the comedy value due to the part where a pair of symbols are used as weapons.,negative,1,29
269,"Wonderful songs, sprightly animation and authentic live action make this a classic adaptation of a classic tale.",positive,2,17
270,"Good performances can't save this terrible script, larded with every cliche in the chick-flick book.",negative,2,15
271,"For a mature man, to admit that he shed a tear over this film is a mature response, to a mature film.",positive,2,22
272,"A very interesting entertainment, with the charm of the old movies.",positive,2,11
273,an oirish film not made for an irish audience.,negative,2,9
274,"This is the movie that I use to judge all other bad movies, and so far there hasn't been anything close.",negative,2,21
275,A dedicated Russian Scientist dreams of going to Mars.,negative,2,9
276,"Jimmy Stewart was a real life pilot, WWII flier and a one-star general in the Air Force and therefore a natural for how real pilots react when they fly.",positive,2,29
277,"The acting is good, the action is good, and so is the plot.",positive,2,13
278,I can't believe they got the actors and actresses of that caliber to do this movie.That's all I've got to say - the movie speaks for itself!,negative,2,27
279,"This movie has a ""big production"" feel that I was not expecting from an independent film.",positive,2,16
280,Widow hires a psychopath as a handyman.Sloppy film noir thriller which doesn't make much of its tension promising set-up.,negative,2,19
281,"being a NI supporter, it's hard to objectively review a movie glorifying ulster nationalists.",negative,1,14
282,"It's all there: Two classic anti-hero buddies, a headlong chase through beautiful swedish scenery, guns, violence, sex, and a Butch Cassidy / sundance Kid - style finale.",positive,2,27
283,Can u believe a college professor made this film?,negative,2,9
284,"Out of the many films I've seen, Tommy Boy is a rare film where I can watch it over and over and it's still funny.",positive,2,25
285,I can't remember many films where a bumbling idiot of a hero was so funny throughout.,positive,2,16
286,I saw this movie five times and never get tired of it.,positive,2,12
287,"Although not one of Vonnegut's better known works, it is a definite ""must-see"".Interestingly thought out, I especially like how the director filmed the couple in love.",positive,2,26
288,"A poorly-paced sf/horror venture that takes itself much too seriously, memorable only for (a) the beautiful Mathilda May wandering around naked through the chaos and (b) terrible miscasting.",negative,2,28
289,"Brilliant execution in displaying once and for all, this time in the venue of politics, of how ""good intentions do actually pave the road to hell"".Excellent!",positive,2,26
290,A couple of weeks after I saw this movie it began to remind me of John Carpenter's In The Mouth Of Madness (not for the story!,positive,2,26
291,The movie is great and I like the story.,positive,2,9
292,"This film is more about how children make sense of the world around them, and how they (and we) use myth to make sense of it all.",positive,2,27
293,"I saw ""A Page of Madness"" in a silent film course at Wesleyan University and it haunts me still after 25 years.",positive,2,22
294,"This film is fun, if your a person who likes a good campy feature film every now and then.",positive,2,19
295,"With all the potential for a good movie in its gorgeous settings, cast, and cinematography, this film's lacklustre script, leaden pace, and wooden performances produced only a major disappointment.",negative,2,29
296,"Mercy the movie, actually starts out as a somewhat decent film, and ellen barkin does give a strong performance.",negative,2,19
297,Not very interesting teen whodunit saved from being a turkey from some decent performances.,negative,2,14
298,This should not have been listed as a Colombo because in my opinion it does not resemble any of the other Colombo ever made.,negative,2,24
299,Adrian Pasdar is excellent is this film.He makes a fascinating woman.,positive,2,11
300,"An unfunny, unworthy picture which is an undeserving end to Peter Sellers' career.It is a pity this movie was ever made.",negative,2,21
301,"I love comedies and I love independent films, but this was much too slow and the humor was extremely regional.",negative,2,20
302,Smallville episode Justice is the best episode of Smallville !,positive,2,10
303,This movie is a desperate attempt to ride the skirtales of the success of the Star Wars movies.,negative,2,18
304,"A quite easy to watch tale of 2 thieves, with that love/hate type relationship between them.",positive,2,16
305,"Awful dreams, wild premonitions, blasphemy and homosexual fantasies permeate Paul Verhoeven's (arguable) masterpiece of a true femme fatale who loves her men then kills them.",positive,2,25
306,I saw this Film one midnight and I can say that it worse than other horror film about a Haunted House.,negative,2,21
307,"The movie is not that bad, Ringo Lam sucks.",negative,2,9
